[ 2013-04-23T14:16:45+08:00 ] /admin.php | INFO: Tag[ app_begin ] --START--
[ 2013-04-23T14:16:45+08:00 ] /admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003068s ]
[ 2013-04-23T14:16:45+08:00 ] /admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003856s ]
[ 2013-04-23T14:16:45+08:00 ] /admin.php | INFO: Tag[ view_template ] --START--
[ 2013-04-23T14:16:45+08:00 ] /admin.php | INFO: Run LocationTemplate Behavior [ RunTime:0.001428s ]
[ 2013-04-23T14:16:45+08:00 ] /admin.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.001589s ]
[ 2013-04-23T14:16:45+08:00 ] /admin.php | INFO: Tag[ view_parse ] --START--
[ 2013-04-23T14:16:45+08:00 ] /admin.php | INFO: Run ParseTemplate Behavior [ RunTime:0.020876s ]
[ 2013-04-23T14:16:45+08:00 ] /admin.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.021031s ]
[ 2013-04-23T14:16:45+08:00 ] /admin.php | INFO: Tag[ view_filter ] --START--
[ 2013-04-23T14:16:45+08:00 ] /admin.php | INFO: Run ContentReplace Behavior [ RunTime:0.001242s ]
[ 2013-04-23T14:16:45+08:00 ] /admin.php | INFO: Run TokenBuild Behavior [ RunTime:0.001332s ]
[ 2013-04-23T14:16:45+08:00 ] /admin.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001512s ]
[ 2013-04-23T14:16:45+08:00 ] /admin.php | INFO: Run ShowRuntime Behavior [ RunTime:0.001589s ]
[ 2013-04-23T14:16:45+08:00 ] /admin.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.006083s ]
[ 2013-04-23T14:16:45+08:00 ] /admin.php | INFO: Tag[ view_end ] --START--
[ 2013-04-23T14:16:45+08:00 ] /admin.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.001486s ]
[ 2013-04-23T14:16:45+08:00 ] /admin.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.001622s ]
[ 2013-04-23T14:22:38+08:00 ] /admin.php/Login | INFO: Tag[ route_check ] --START--
