[ 2013-05-02T15:48:20+08:00 ] /admin.php/Login/checkVerify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000667s ]
[ 2013-05-02T15:48:20+08:00 ] /admin.php/Login/checkVerify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000830s ]
[ 2013-05-02T15:48:20+08:00 ] /admin.php | INFO: Tag[ app_begin ] --START--
[ 2013-05-02T15:48:20+08:00 ] /admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000717s ]
[ 2013-05-02T15:48:20+08:00 ] /admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000883s ]
[ 2013-05-02T15:48:20+08:00 ] /admin.php | INFO: Tag[ view_template ] --START--
[ 2013-05-02T15:48:20+08:00 ] /admin.php | INFO: Run LocationTemplate Behavior [ RunTime:0.000553s ]
[ 2013-05-02T15:48:20+08:00 ] /admin.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.000689s ]
[ 2013-05-02T15:48:20+08:00 ] /admin.php | INFO: Tag[ view_parse ] --START--
[ 2013-05-02T15:48:20+08:00 ] /admin.php | INFO: Run ParseTemplate Behavior [ RunTime:0.013496s ]
[ 2013-05-02T15:48:20+08:00 ] /admin.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.013650s ]
[ 2013-05-02T15:48:20+08:00 ] /admin.php | INFO: Tag[ view_filter ] --START--
[ 2013-05-02T15:48:20+08:00 ] /admin.php | INFO: Run ContentReplace Behavior [ RunTime:0.000562s ]
[ 2013-05-02T15:48:20+08:00 ] /admin.php | INFO: Run TokenBuild Behavior [ RunTime:0.006821s ]
[ 2013-05-02T15:48:20+08:00 ] /admin.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000394s ]
[ 2013-05-02T15:48:20+08:00 ] /admin.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000692s ]
[ 2013-05-02T15:48:20+08:00 ] /admin.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.008904s ]
[ 2013-05-02T15:48:20+08:00 ] /admin.php | INFO: Tag[ view_end ] --START--
[ 2013-05-02T15:48:20+08:00 ] /admin.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000460s ]
[ 2013-05-02T15:48:20+08:00 ] /admin.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.000591s ]
[ 2013-05-02T15:48:20+08:00 ] /admin.php/Index/copy | INFO: Tag[ route_check ] --START--
[ 2013-05-02T15:48:20+08:00 ] /admin.php/Index/copy | INFO: Run CheckRoute Behavior [ RunTime:0.001667s ]
[ 2013-05-02T15:48:20+08:00 ] /admin.php/Index/copy | INFO: Tag[ route_check ] --END-- [ RunTime:0.001861s ]
[ 2013-05-02T15:48:20+08:00 ] /admin.php/Index/copy | INFO: Tag[ app_begin ] --START--
[ 2013-05-02T15:48:20+08:00 ] /admin.php/Index/copy | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000805s ]
[ 2013-05-02T15:48:20+08:00 ] /admin.php/Index/copy | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000944s ]
[ 2013-05-02T15:48:24+08:00 ] /admin.php/Reward/level | INFO: Tag[ route_check ] --START--
[ 2013-05-02T15:48:24+08:00 ] /admin.php/Reward/level | INFO: Run CheckRoute Behavior [ RunTime:0.000834s ]
[ 2013-05-02T15:48:24+08:00 ] /admin.php/Reward/level | INFO: Tag[ route_check ] --END-- [ RunTime:0.000994s ]
[ 2013-05-02T15:48:24+08:00 ] /admin.php/Reward/level | INFO: Tag[ app_begin ] --START--
[ 2013-05-02T15:48:24+08:00 ] /admin.php/Reward/level | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000850s ]
[ 2013-05-02T15:48:24+08:00 ] /admin.php/Reward/level | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000998s ]
[ 2013-05-02T15:48:24+08:00 ] /admin.php/Reward/level | INFO: Tag[ view_template ] --START--
[ 2013-05-02T15:48:24+08:00 ] /admin.php/Reward/level | INFO: Run LocationTemplate Behavior [ RunTime:0.000949s ]
[ 2013-05-02T15:48:24+08:00 ] /admin.php/Reward/level | INFO: Tag[ view_template ] --END-- [ RunTime:0.001104s ]
[ 2013-05-02T15:48:24+08:00 ] /admin.php/Reward/level | INFO: Tag[ view_parse ] --START--
[ 2013-05-02T15:48:24+08:00 ] /admin.php/Reward/level | INFO: Run ParseTemplate Behavior [ RunTime:0.014543s ]
[ 2013-05-02T15:48:24+08:00 ] /admin.php/Reward/level | INFO: Tag[ view_parse ] --END-- [ RunTime:0.014694s ]
[ 2013-05-02T15:48:24+08:00 ] /admin.php/Reward/level | INFO: Tag[ view_filter ] --START--
[ 2013-05-02T15:48:24+08:00 ] /admin.php/Reward/level | INFO: Run ContentReplace Behavior [ RunTime:0.000480s ]
[ 2013-05-02T15:48:24+08:00 ] /admin.php/Reward/level | INFO: Run TokenBuild Behavior [ RunTime:0.000505s ]
[ 2013-05-02T15:48:24+08:00 ] /admin.php/Reward/level | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000280s ]
[ 2013-05-02T15:48:24+08:00 ] /admin.php/Reward/level | INFO: Run ShowRuntime Behavior [ RunTime:0.000733s ]
[ 2013-05-02T15:48:24+08:00 ] /admin.php/Reward/level | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002374s ]
[ 2013-05-02T15:48:24+08:00 ] /admin.php/Reward/level | INFO: Tag[ view_end ] --START--
[ 2013-05-02T15:48:24+08:00 ] /admin.php/Reward/level | INFO: Run ShowPageTrace Behavior [ RunTime:0.000503s ]
[ 2013-05-02T15:48:24+08:00 ] /admin.php/Reward/level | INFO: Tag[ view_end ] --END-- [ RunTime:0.000638s ]
