[ 2013-05-07T10:46:43+08:00 ] /admin.php/Login/index | INFO: Tag[ route_check ] --START--
[ 2013-05-07T10:46:43+08:00 ] /admin.php/Login/index | INFO: Run CheckRoute Behavior [ RunTime:0.000770s ]
[ 2013-05-07T10:46:43+08:00 ] /admin.php/Login/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000931s ]
[ 2013-05-07T10:46:43+08:00 ] /admin.php/Login/index | INFO: Tag[ app_begin ] --START--
[ 2013-05-07T10:46:43+08:00 ] /admin.php/Login/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000618s ]
[ 2013-05-07T10:46:43+08:00 ] /admin.php/Login/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.006692s ]
[ 2013-05-07T10:46:43+08:00 ] /admin.php/Login/index | INFO: Tag[ view_template ] --START--
[ 2013-05-07T10:46:43+08:00 ] /admin.php/Login/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000640s ]
[ 2013-05-07T10:46:43+08:00 ] /admin.php/Login/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000840s ]
[ 2013-05-07T10:46:43+08:00 ] /admin.php/Login/index | INFO: Tag[ view_parse ] --START--
[ 2013-05-07T10:46:43+08:00 ] /admin.php/Login/index | INFO: Run ParseTemplate Behavior [ RunTime:0.022307s ]
[ 2013-05-07T10:46:43+08:00 ] /admin.php/Login/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.022700s ]
[ 2013-05-07T10:46:43+08:00 ] /admin.php/Login/index | INFO: Tag[ view_filter ] --START--
[ 2013-05-07T10:46:43+08:00 ] /admin.php/Login/index | INFO: Run ContentReplace Behavior [ RunTime:0.000496s ]
[ 2013-05-07T10:46:43+08:00 ] /admin.php/Login/index | INFO: Run TokenBuild Behavior [ RunTime:0.000510s ]
[ 2013-05-07T10:46:43+08:00 ] /admin.php/Login/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000255s ]
[ 2013-05-07T10:46:43+08:00 ] /admin.php/Login/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000669s ]
[ 2013-05-07T10:46:43+08:00 ] /admin.php/Login/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002325s ]
[ 2013-05-07T10:46:43+08:00 ] /admin.php/Login/index | INFO: Tag[ view_end ] --START--
[ 2013-05-07T10:46:43+08:00 ] /admin.php/Login/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000451s ]
[ 2013-05-07T10:46:43+08:00 ] /admin.php/Login/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000575s ]
[ 2013-05-07T10:46:43+08:00 ] /admin.php/Login/verify | INFO: Tag[ route_check ] --START--
