[ 2013-05-08T08:41:33+08:00 ] /admin.php/Login/index | INFO: Tag[ route_check ] --START--
[ 2013-05-08T08:41:33+08:00 ] /admin.php/Login/index | INFO: Run CheckRoute Behavior [ RunTime:0.000749s ]
[ 2013-05-08T08:41:33+08:00 ] /admin.php/Login/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000898s ]
[ 2013-05-08T08:41:33+08:00 ] /admin.php/Login/index | INFO: Tag[ app_begin ] --START--
[ 2013-05-08T08:41:33+08:00 ] /admin.php/Login/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000618s ]
[ 2013-05-08T08:41:33+08:00 ] /admin.php/Login/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000754s ]
[ 2013-05-08T08:41:33+08:00 ] /admin.php/Login/index | INFO: Tag[ view_template ] --START--
[ 2013-05-08T08:41:33+08:00 ] /admin.php/Login/index | INFO: Run LocationTemplate Behavior [ RunTime:0.001584s ]
[ 2013-05-08T08:41:33+08:00 ] /admin.php/Login/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001742s ]
[ 2013-05-08T08:41:33+08:00 ] /admin.php/Login/index | INFO: Tag[ view_parse ] --START--
[ 2013-05-08T08:41:33+08:00 ] /admin.php/Login/index | INFO: Run ParseTemplate Behavior [ RunTime:0.018325s ]
[ 2013-05-08T08:41:33+08:00 ] /admin.php/Login/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.018488s ]
[ 2013-05-08T08:41:33+08:00 ] /admin.php/Login/index | INFO: Tag[ view_filter ] --START--
[ 2013-05-08T08:41:33+08:00 ] /admin.php/Login/index | INFO: Run ContentReplace Behavior [ RunTime:0.001436s ]
[ 2013-05-08T08:41:33+08:00 ] /admin.php/Login/index | INFO: Run TokenBuild Behavior [ RunTime:0.001251s ]
[ 2013-05-08T08:41:33+08:00 ] /admin.php/Login/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000862s ]
[ 2013-05-08T08:41:33+08:00 ] /admin.php/Login/index | INFO: Run ShowRuntime Behavior [ RunTime:0.001133s ]
[ 2013-05-08T08:41:33+08:00 ] /admin.php/Login/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005085s ]
[ 2013-05-08T08:41:33+08:00 ] /admin.php/Login/index | INFO: Tag[ view_end ] --START--
[ 2013-05-08T08:41:33+08:00 ] /admin.php/Login/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.001025s ]
[ 2013-05-08T08:41:33+08:00 ] /admin.php/Login/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001159s ]
[ 2013-05-08T08:41:33+08:00 ] /admin.php/Login/verify | INFO: Tag[ route_check ] --START--
[ 2013-05-08T08:41:33+08:00 ] /admin.php/Login/verify | INFO: Run CheckRoute Behavior [ RunTime:0.000762s ]
[ 2013-05-08T08:41:33+08:00 ] /admin.php/Login/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.000925s ]
[ 2013-05-08T08:41:33+08:00 ] /admin.php/Login/verify | INFO: Tag[ app_begin ] --START--
[ 2013-05-08T08:41:33+08:00 ] /admin.php/Login/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000602s ]
[ 2013-05-08T08:41:33+08:00 ] /admin.php/Login/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000729s ]
[ 2013-05-08T08:41:35+08:00 ] /admin.php/Login/checkAccount | INFO: Tag[ route_check ] --START--
[ 2013-05-08T08:41:35+08:00 ] /admin.php/Login/checkAccount | INFO: Run CheckRoute Behavior [ RunTime:0.000829s ]
[ 2013-05-08T08:41:35+08:00 ] /admin.php/Login/checkAccount | INFO: Tag[ route_check ] --END-- [ RunTime:0.000985s ]
[ 2013-05-08T08:41:35+08:00 ] /admin.php/Login/checkAccount | INFO: Tag[ app_begin ] --START--
[ 2013-05-08T08:41:35+08:00 ] /admin.php/Login/checkAccount | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000693s ]
[ 2013-05-08T08:41:35+08:00 ] /admin.php/Login/checkAccount | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000836s ]
[ 2013-05-08T08:41:35+08:00 ] /admin.php/Login/checkAccount | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2013-05-08T08:41:35+08:00 ] /admin.php/Login/checkAccount | SQL: SHOW COLUMNS FROM `hd_admin` [ RunTime:0.010494s ]
[ 2013-05-08T08:41:35+08:00 ] /admin.php/Login/checkAccount | SQL: SELECT COUNT(id) AS tp_count FROM `hd_admin` WHERE ( `account` = 'admin' ) LIMIT 1   [ RunTime:0.003355s ]
[ 2013-05-08T08:41:36+08:00 ] /admin.php/Login/checkPwd | INFO: Tag[ route_check ] --START--
[ 2013-05-08T08:41:36+08:00 ] /admin.php/Login/checkPwd | INFO: Run CheckRoute Behavior [ RunTime:0.000765s ]
[ 2013-05-08T08:41:36+08:00 ] /admin.php/Login/checkPwd | INFO: Tag[ route_check ] --END-- [ RunTime:0.000925s ]
[ 2013-05-08T08:41:36+08:00 ] /admin.php/Login/checkPwd | INFO: Tag[ app_begin ] --START--
[ 2013-05-08T08:41:36+08:00 ] /admin.php/Login/checkPwd | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000596s ]
[ 2013-05-08T08:41:36+08:00 ] /admin.php/Login/checkPwd | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000719s ]
[ 2013-05-08T08:41:36+08:00 ] /admin.php/Login/checkPwd | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2013-05-08T08:41:36+08:00 ] /admin.php/Login/checkPwd | SQL: SHOW COLUMNS FROM `hd_admin` [ RunTime:0.001840s ]
[ 2013-05-08T08:41:36+08:00 ] /admin.php/Login/checkPwd | SQL: SELECT `password` FROM `hd_admin` WHERE ( `account` = 'admin' ) LIMIT 1   [ RunTime:0.000236s ]
[ 2013-05-08T08:41:38+08:00 ] /admin.php/Login/checkAccount | INFO: Tag[ route_check ] --START--
[ 2013-05-08T08:41:38+08:00 ] /admin.php/Login/checkAccount | INFO: Run CheckRoute Behavior [ RunTime:0.000777s ]
[ 2013-05-08T08:41:38+08:00 ] /admin.php/Login/checkAccount | INFO: Tag[ route_check ] --END-- [ RunTime:0.000923s ]
[ 2013-05-08T08:41:38+08:00 ] /admin.php/Login/checkAccount | INFO: Tag[ app_begin ] --START--
[ 2013-05-08T08:41:38+08:00 ] /admin.php/Login/checkAccount | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000639s ]
[ 2013-05-08T08:41:38+08:00 ] /admin.php/Login/checkAccount | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000848s ]
[ 2013-05-08T08:41:38+08:00 ] /admin.php/Login/checkAccount | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2013-05-08T08:41:38+08:00 ] /admin.php/Login/checkAccount | SQL: SHOW COLUMNS FROM `hd_admin` [ RunTime:0.017921s ]
[ 2013-05-08T08:41:38+08:00 ] /admin.php/Login/checkAccount | SQL: SELECT COUNT(id) AS tp_count FROM `hd_admin` WHERE ( `account` = 'admin' ) LIMIT 1   [ RunTime:0.000259s ]
[ 2013-05-08T08:41:38+08:00 ] /admin.php/Login/checkPwd | INFO: Tag[ route_check ] --START--
[ 2013-05-08T08:41:38+08:00 ] /admin.php/Login/checkPwd | INFO: Run CheckRoute Behavior [ RunTime:0.000883s ]
[ 2013-05-08T08:41:38+08:00 ] /admin.php/Login/checkPwd | INFO: Tag[ route_check ] --END-- [ RunTime:0.001032s ]
[ 2013-05-08T08:41:38+08:00 ] /admin.php/Login/checkPwd | INFO: Tag[ app_begin ] --START--
[ 2013-05-08T08:41:38+08:00 ] /admin.php/Login/checkPwd | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000658s ]
[ 2013-05-08T08:41:38+08:00 ] /admin.php/Login/checkPwd | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000789s ]
[ 2013-05-08T08:41:38+08:00 ] /admin.php/Login/checkPwd | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
