[ 2013-04-28T14:14:38+08:00 ] /admin.php/Login/index | INFO: Tag[ route_check ] --START--
[ 2013-04-28T14:14:38+08:00 ] /admin.php/Login/index | INFO: Run CheckRoute Behavior [ RunTime:0.001335s ]
[ 2013-04-28T14:14:38+08:00 ] /admin.php/Login/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001515s ]
[ 2013-04-28T14:14:38+08:00 ] /admin.php/Login/index | INFO: Tag[ app_begin ] --START--
[ 2013-04-28T14:14:38+08:00 ] /admin.php/Login/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000713s ]
[ 2013-04-28T14:14:38+08:00 ] /admin.php/Login/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000849s ]
[ 2013-04-28T14:14:38+08:00 ] /admin.php/Login/index | INFO: Tag[ view_template ] --START--
[ 2013-04-28T14:14:38+08:00 ] /admin.php/Login/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000624s ]
[ 2013-04-28T14:14:38+08:00 ] /admin.php/Login/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000792s ]
[ 2013-04-28T14:14:38+08:00 ] /admin.php/Login/index | INFO: Tag[ view_parse ] --START--
[ 2013-04-28T14:14:38+08:00 ] /admin.php/Login/index | INFO: Run ParseTemplate Behavior [ RunTime:0.011067s ]
[ 2013-04-28T14:14:38+08:00 ] /admin.php/Login/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.011215s ]
[ 2013-04-28T14:14:38+08:00 ] /admin.php/Login/index | INFO: Tag[ view_filter ] --START--
[ 2013-04-28T14:14:38+08:00 ] /admin.php/Login/index | INFO: Run ContentReplace Behavior [ RunTime:0.000560s ]
[ 2013-04-28T14:14:38+08:00 ] /admin.php/Login/index | INFO: Run TokenBuild Behavior [ RunTime:0.000554s ]
[ 2013-04-28T14:14:38+08:00 ] /admin.php/Login/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000262s ]
[ 2013-04-28T14:14:38+08:00 ] /admin.php/Login/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000689s ]
[ 2013-04-28T14:14:38+08:00 ] /admin.php/Login/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002437s ]
[ 2013-04-28T14:14:38+08:00 ] /admin.php/Login/index | INFO: Tag[ view_end ] --START--
[ 2013-04-28T14:14:38+08:00 ] /admin.php/Login/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000470s ]
[ 2013-04-28T14:14:38+08:00 ] /admin.php/Login/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000654s ]
[ 2013-04-28T14:14:38+08:00 ] /admin.php/Login/verify | INFO: Tag[ route_check ] --START--
[ 2013-04-28T14:14:38+08:00 ] /admin.php/Login/verify | INFO: Run CheckRoute Behavior [ RunTime:0.000866s ]
[ 2013-04-28T14:14:38+08:00 ] /admin.php/Login/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.001036s ]
[ 2013-04-28T14:14:38+08:00 ] /admin.php/Login/verify | INFO: Tag[ app_begin ] --START--
[ 2013-04-28T14:14:38+08:00 ] /admin.php/Login/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000666s ]
[ 2013-04-28T14:14:38+08:00 ] /admin.php/Login/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000796s ]
[ 2013-04-28T14:14:40+08:00 ] /admin.php/Login/checkAccount | INFO: Tag[ route_check ] --START--
[ 2013-04-28T14:14:40+08:00 ] /admin.php/Login/checkAccount | INFO: Run CheckRoute Behavior [ RunTime:0.000782s ]
[ 2013-04-28T14:14:40+08:00 ] /admin.php/Login/checkAccount | INFO: Tag[ route_check ] --END-- [ RunTime:0.000966s ]
[ 2013-04-28T14:14:40+08:00 ] /admin.php/Login/checkAccount | INFO: Tag[ app_begin ] --START--
[ 2013-04-28T14:14:40+08:00 ] /admin.php/Login/checkAccount | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000714s ]
[ 2013-04-28T14:14:40+08:00 ] /admin.php/Login/checkAccount | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000843s ]
[ 2013-04-28T14:14:40+08:00 ] /admin.php/Login/checkAccount | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2013-04-28T14:14:40+08:00 ] /admin.php/Login/checkAccount | SQL: SHOW COLUMNS FROM `hd_admin` [ RunTime:0.005321s ]
[ 2013-04-28T14:14:40+08:00 ] /admin.php/Login/checkAccount | SQL: SELECT COUNT(id) AS tp_count FROM `hd_admin` WHERE ( `account` = 'admin' ) LIMIT 1   [ RunTime:0.002643s ]
[ 2013-04-28T14:14:41+08:00 ] /admin.php/Login/checkPwd | INFO: Tag[ route_check ] --START--
[ 2013-04-28T14:14:41+08:00 ] /admin.php/Login/checkPwd | INFO: Run CheckRoute Behavior [ RunTime:0.000800s ]
[ 2013-04-28T14:14:41+08:00 ] /admin.php/Login/checkPwd | INFO: Tag[ route_check ] --END-- [ RunTime:0.000969s ]
[ 2013-04-28T14:14:41+08:00 ] /admin.php/Login/checkPwd | INFO: Tag[ app_begin ] --START--
[ 2013-04-28T14:14:41+08:00 ] /admin.php/Login/checkPwd | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000665s ]
[ 2013-04-28T14:14:41+08:00 ] /admin.php/Login/checkPwd | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000796s ]
[ 2013-04-28T14:14:41+08:00 ] /admin.php/Login/checkPwd | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2013-04-28T14:14:41+08:00 ] /admin.php/Login/checkPwd | SQL: SHOW COLUMNS FROM `hd_admin` [ RunTime:0.001144s ]
[ 2013-04-28T14:14:41+08:00 ] /admin.php/Login/checkPwd | SQL: SELECT `password` FROM `hd_admin` WHERE ( `account` = 'admin' ) LIMIT 1   [ RunTime:0.000271s ]
[ 2013-04-28T14:14:44+08:00 ] /admin.php/Login/checkVerify | INFO: Tag[ route_check ] --START--
[ 2013-04-28T14:14:44+08:00 ] /admin.php/Login/checkVerify | INFO: Run CheckRoute Behavior [ RunTime:0.000801s ]
[ 2013-04-28T14:14:44+08:00 ] /admin.php/Login/checkVerify | INFO: Tag[ route_check ] --END-- [ RunTime:0.000979s ]
[ 2013-04-28T14:14:44+08:00 ] /admin.php/Login/checkVerify | INFO: Tag[ app_begin ] --START--
[ 2013-04-28T14:14:44+08:00 ] /admin.php/Login/checkVerify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000679s ]
[ 2013-04-28T14:14:44+08:00 ] /admin.php/Login/checkVerify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001061s ]
[ 2013-04-28T14:14:44+08:00 ] /admin.php | INFO: Tag[ app_begin ] --START--
[ 2013-04-28T14:14:44+08:00 ] /admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000645s ]
[ 2013-04-28T14:14:44+08:00 ] /admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000813s ]
[ 2013-04-28T14:14:44+08:00 ] /admin.php | INFO: Tag[ view_template ] --START--
[ 2013-04-28T14:14:44+08:00 ] /admin.php | INFO: Run LocationTemplate Behavior [ RunTime:0.000526s ]
[ 2013-04-28T14:14:44+08:00 ] /admin.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.000675s ]
[ 2013-04-28T14:14:44+08:00 ] /admin.php | INFO: Tag[ view_parse ] --START--
[ 2013-04-28T14:14:44+08:00 ] /admin.php | INFO: Run ParseTemplate Behavior [ RunTime:0.011877s ]
[ 2013-04-28T14:14:44+08:00 ] /admin.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.012047s ]
[ 2013-04-28T14:14:44+08:00 ] /admin.php | INFO: Tag[ view_filter ] --START--
[ 2013-04-28T14:14:44+08:00 ] /admin.php | INFO: Run ContentReplace Behavior [ RunTime:0.000463s ]
[ 2013-04-28T14:14:44+08:00 ] /admin.php | INFO: Run TokenBuild Behavior [ RunTime:0.000529s ]
[ 2013-04-28T14:14:44+08:00 ] /admin.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000307s ]
[ 2013-04-28T14:14:44+08:00 ] /admin.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000720s ]
[ 2013-04-28T14:14:44+08:00 ] /admin.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002388s ]
[ 2013-04-28T14:14:44+08:00 ] /admin.php | INFO: Tag[ view_end ] --START--
[ 2013-04-28T14:14:44+08:00 ] /admin.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000477s ]
[ 2013-04-28T14:14:44+08:00 ] /admin.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.000610s ]
[ 2013-04-28T14:14:45+08:00 ] /admin.php/Index/copy | INFO: Tag[ route_check ] --START--
[ 2013-04-28T14:14:45+08:00 ] /admin.php/Index/copy | INFO: Run CheckRoute Behavior [ RunTime:0.000824s ]
[ 2013-04-28T14:14:45+08:00 ] /admin.php/Index/copy | INFO: Tag[ route_check ] --END-- [ RunTime:0.001001s ]
[ 2013-04-28T14:14:45+08:00 ] /admin.php/Index/copy | INFO: Tag[ app_begin ] --START--
[ 2013-04-28T14:14:45+08:00 ] /admin.php/Index/copy | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000642s ]
[ 2013-04-28T14:14:45+08:00 ] /admin.php/Index/copy | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000773s ]
[ 2013-04-28T14:14:48+08:00 ] /admin.php/System/index | INFO: Tag[ route_check ] --START--
[ 2013-04-28T14:14:48+08:00 ] /admin.php/System/index | INFO: Run CheckRoute Behavior [ RunTime:0.000779s ]
[ 2013-04-28T14:14:48+08:00 ] /admin.php/System/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000941s ]
[ 2013-04-28T14:14:48+08:00 ] /admin.php/System/index | INFO: Tag[ app_begin ] --START--
[ 2013-04-28T14:14:48+08:00 ] /admin.php/System/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000666s ]
[ 2013-04-28T14:14:48+08:00 ] /admin.php/System/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000796s ]
[ 2013-04-28T14:14:48+08:00 ] /admin.php/System/index | INFO: Tag[ view_template ] --START--
[ 2013-04-28T14:14:48+08:00 ] /admin.php/System/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000595s ]
[ 2013-04-28T14:14:48+08:00 ] /admin.php/System/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000762s ]
[ 2013-04-28T14:14:48+08:00 ] /admin.php/System/index | INFO: Tag[ view_parse ] --START--
[ 2013-04-28T14:14:48+08:00 ] /admin.php/System/index | INFO: Run ParseTemplate Behavior [ RunTime:0.013017s ]
[ 2013-04-28T14:14:48+08:00 ] /admin.php/System/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.013180s ]
[ 2013-04-28T14:14:48+08:00 ] /admin.php/System/index | INFO: Tag[ view_filter ] --START--
[ 2013-04-28T14:14:48+08:00 ] /admin.php/System/index | INFO: Run ContentReplace Behavior [ RunTime:0.000458s ]
[ 2013-04-28T14:14:48+08:00 ] /admin.php/System/index | INFO: Run TokenBuild Behavior [ RunTime:0.000518s ]
[ 2013-04-28T14:14:48+08:00 ] /admin.php/System/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000317s ]
[ 2013-04-28T14:14:48+08:00 ] /admin.php/System/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000750s ]
[ 2013-04-28T14:14:48+08:00 ] /admin.php/System/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002417s ]
[ 2013-04-28T14:14:48+08:00 ] /admin.php/System/index | INFO: Tag[ view_end ] --START--
[ 2013-04-28T14:14:48+08:00 ] /admin.php/System/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.013367s ]
[ 2013-04-28T14:14:48+08:00 ] /admin.php/System/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.013533s ]
[ 2013-04-28T14:14:51+08:00 ] /admin.php/Reward/edit | INFO: Tag[ route_check ] --START--
[ 2013-04-28T14:14:51+08:00 ] /admin.php/Reward/edit | INFO: Run CheckRoute Behavior [ RunTime:0.000882s ]
[ 2013-04-28T14:14:51+08:00 ] /admin.php/Reward/edit | INFO: Tag[ route_check ] --END-- [ RunTime:0.001226s ]
[ 2013-04-28T14:14:51+08:00 ] /admin.php/Reward/edit | INFO: Tag[ app_begin ] --START--
[ 2013-04-28T14:14:51+08:00 ] /admin.php/Reward/edit | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000738s ]
[ 2013-04-28T14:14:51+08:00 ] /admin.php/Reward/edit | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000868s ]
[ 2013-04-28T14:14:51+08:00 ] /admin.php/Reward/edit | INFO: Tag[ view_template ] --START--
[ 2013-04-28T14:14:51+08:00 ] /admin.php/Reward/edit | INFO: Run LocationTemplate Behavior [ RunTime:0.000500s ]
[ 2013-04-28T14:14:51+08:00 ] /admin.php/Reward/edit | INFO: Tag[ view_template ] --END-- [ RunTime:0.000664s ]
[ 2013-04-28T14:14:51+08:00 ] /admin.php/Reward/edit | INFO: Tag[ view_parse ] --START--
[ 2013-04-28T14:14:51+08:00 ] /admin.php/Reward/edit | INFO: Run ParseTemplate Behavior [ RunTime:0.010789s ]
[ 2013-04-28T14:14:51+08:00 ] /admin.php/Reward/edit | INFO: Tag[ view_parse ] --END-- [ RunTime:0.010944s ]
[ 2013-04-28T14:14:51+08:00 ] /admin.php/Reward/edit | INFO: Tag[ view_filter ] --START--
[ 2013-04-28T14:14:51+08:00 ] /admin.php/Reward/edit | INFO: Run ContentReplace Behavior [ RunTime:0.000469s ]
[ 2013-04-28T14:14:51+08:00 ] /admin.php/Reward/edit | INFO: Run TokenBuild Behavior [ RunTime:0.000707s ]
[ 2013-04-28T14:14:51+08:00 ] /admin.php/Reward/edit | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000606s ]
[ 2013-04-28T14:14:51+08:00 ] /admin.php/Reward/edit | INFO: Run ShowRuntime Behavior [ RunTime:0.000980s ]
[ 2013-04-28T14:14:51+08:00 ] /admin.php/Reward/edit | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003365s ]
[ 2013-04-28T14:14:51+08:00 ] /admin.php/Reward/edit | INFO: Tag[ view_end ] --START--
[ 2013-04-28T14:14:51+08:00 ] /admin.php/Reward/edit | INFO: Run ShowPageTrace Behavior [ RunTime:0.000618s ]
[ 2013-04-28T14:14:51+08:00 ] /admin.php/Reward/edit | INFO: Tag[ view_end ] --END-- [ RunTime:0.000767s ]
[ 2013-04-28T14:14:52+08:00 ] /admin.php/System/index | INFO: Tag[ route_check ] --START--
[ 2013-04-28T14:14:52+08:00 ] /admin.php/System/index | INFO: Run CheckRoute Behavior [ RunTime:0.000811s ]
[ 2013-04-28T14:14:52+08:00 ] /admin.php/System/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000981s ]
[ 2013-04-28T14:14:52+08:00 ] /admin.php/System/index | INFO: Tag[ app_begin ] --START--
[ 2013-04-28T14:14:52+08:00 ] /admin.php/System/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000665s ]
[ 2013-04-28T14:14:52+08:00 ] /admin.php/System/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000793s ]
[ 2013-04-28T14:14:52+08:00 ] /admin.php/System/index | INFO: Tag[ view_template ] --START--
[ 2013-04-28T14:14:52+08:00 ] /admin.php/System/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000424s ]
[ 2013-04-28T14:14:52+08:00 ] /admin.php/System/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000557s ]
[ 2013-04-28T14:14:52+08:00 ] /admin.php/System/index | INFO: Tag[ view_parse ] --START--
[ 2013-04-28T14:14:52+08:00 ] /admin.php/System/index | INFO: Run ParseTemplate Behavior [ RunTime:0.012650s ]
[ 2013-04-28T14:14:52+08:00 ] /admin.php/System/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.012798s ]
[ 2013-04-28T14:14:52+08:00 ] /admin.php/System/index | INFO: Tag[ view_filter ] --START--
[ 2013-04-28T14:14:52+08:00 ] /admin.php/System/index | INFO: Run ContentReplace Behavior [ RunTime:0.000460s ]
[ 2013-04-28T14:14:52+08:00 ] /admin.php/System/index | INFO: Run TokenBuild Behavior [ RunTime:0.000598s ]
[ 2013-04-28T14:14:52+08:00 ] /admin.php/System/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000283s ]
[ 2013-04-28T14:14:52+08:00 ] /admin.php/System/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000734s ]
[ 2013-04-28T14:14:52+08:00 ] /admin.php/System/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002446s ]
[ 2013-04-28T14:14:52+08:00 ] /admin.php/System/index | INFO: Tag[ view_end ] --START--
[ 2013-04-28T14:14:52+08:00 ] /admin.php/System/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000502s ]
[ 2013-04-28T14:14:52+08:00 ] /admin.php/System/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000647s ]
[ 2013-04-28T14:15:31+08:00 ] /admin.php/Reward/edit | INFO: Tag[ route_check ] --START--
[ 2013-04-28T14:15:31+08:00 ] /admin.php/Reward/edit | INFO: Run CheckRoute Behavior [ RunTime:0.000896s ]
[ 2013-04-28T14:15:31+08:00 ] /admin.php/Reward/edit | INFO: Tag[ route_check ] --END-- [ RunTime:0.001067s ]
[ 2013-04-28T14:15:31+08:00 ] /admin.php/Reward/edit | INFO: Tag[ app_begin ] --START--
