[ 2013-04-27T14:21:30+08:00 ] /admin.php/Login/index | INFO: Tag[ route_check ] --START--
[ 2013-04-27T14:21:30+08:00 ] /admin.php/Login/index | INFO: Run CheckRoute Behavior [ RunTime:0.001090s ]
[ 2013-04-27T14:21:30+08:00 ] /admin.php/Login/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001253s ]
[ 2013-04-27T14:21:30+08:00 ] /admin.php/Login/index | INFO: Tag[ app_begin ] --START--
[ 2013-04-27T14:21:30+08:00 ] /admin.php/Login/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000650s ]
[ 2013-04-27T14:21:30+08:00 ] /admin.php/Login/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000810s ]
[ 2013-04-27T14:21:30+08:00 ] /admin.php/Login/index | INFO: Tag[ view_template ] --START--
[ 2013-04-27T14:21:30+08:00 ] /admin.php/Login/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000797s ]
[ 2013-04-27T14:21:30+08:00 ] /admin.php/Login/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000955s ]
[ 2013-04-27T14:21:30+08:00 ] /admin.php/Login/index | INFO: Tag[ view_parse ] --START--
[ 2013-04-27T14:21:30+08:00 ] /admin.php/Login/index | INFO: Run ParseTemplate Behavior [ RunTime:0.010149s ]
[ 2013-04-27T14:21:30+08:00 ] /admin.php/Login/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.010304s ]
[ 2013-04-27T14:21:30+08:00 ] /admin.php/Login/index | INFO: Tag[ view_filter ] --START--
[ 2013-04-27T14:21:30+08:00 ] /admin.php/Login/index | INFO: Run ContentReplace Behavior [ RunTime:0.000793s ]
[ 2013-04-27T14:21:30+08:00 ] /admin.php/Login/index | INFO: Run TokenBuild Behavior [ RunTime:0.004227s ]
[ 2013-04-27T14:21:30+08:00 ] /admin.php/Login/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000368s ]
