[ 2013-04-24T13:43:58+08:00 ] /admin.php/Login/index | INFO: Tag[ route_check ] --START--
[ 2013-04-24T13:43:58+08:00 ] /admin.php/Login/index | INFO: Run CheckRoute Behavior [ RunTime:0.010357s ]
[ 2013-04-24T13:43:58+08:00 ] /admin.php/Login/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.010536s ]
[ 2013-04-24T13:43:58+08:00 ] /admin.php/Login/index | INFO: Tag[ app_begin ] --START--
[ 2013-04-24T13:43:58+08:00 ] /admin.php/Login/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001011s ]
[ 2013-04-24T13:43:58+08:00 ] /admin.php/Login/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001141s ]
[ 2013-04-24T13:43:58+08:00 ] /admin.php/Login/index | INFO: Tag[ view_template ] --START--
[ 2013-04-24T13:43:58+08:00 ] /admin.php/Login/index | INFO: Run LocationTemplate Behavior [ RunTime:0.001385s ]
[ 2013-04-24T13:43:58+08:00 ] /admin.php/Login/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001532s ]
[ 2013-04-24T13:43:58+08:00 ] /admin.php/Login/index | INFO: Tag[ view_parse ] --START--
[ 2013-04-24T13:43:58+08:00 ] /admin.php/Login/index | INFO: Run ParseTemplate Behavior [ RunTime:0.023134s ]
[ 2013-04-24T13:43:58+08:00 ] /admin.php/Login/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.023306s ]
[ 2013-04-24T13:43:58+08:00 ] /admin.php/Login/index | INFO: Tag[ view_filter ] --START--
[ 2013-04-24T13:43:58+08:00 ] /admin.php/Login/index | INFO: Run ContentReplace Behavior [ RunTime:0.001266s ]
[ 2013-04-24T13:43:58+08:00 ] /admin.php/Login/index | INFO: Run TokenBuild Behavior [ RunTime:0.001422s ]
[ 2013-04-24T13:43:58+08:00 ] /admin.php/Login/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001058s ]
[ 2013-04-24T13:43:58+08:00 ] /admin.php/Login/index | INFO: Run ShowRuntime Behavior [ RunTime:0.001511s ]
[ 2013-04-24T13:43:58+08:00 ] /admin.php/Login/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005644s ]
[ 2013-04-24T13:43:58+08:00 ] /admin.php/Login/index | INFO: Tag[ view_end ] --START--
[ 2013-04-24T13:43:58+08:00 ] /admin.php/Login/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.001629s ]
[ 2013-04-24T13:43:58+08:00 ] /admin.php/Login/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001799s ]
[ 2013-04-24T13:43:58+08:00 ] /admin.php/Login/verify | INFO: Tag[ route_check ] --START--
[ 2013-04-24T13:43:58+08:00 ] /admin.php/Login/verify | INFO: Run CheckRoute Behavior [ RunTime:0.001088s ]
[ 2013-04-24T13:43:58+08:00 ] /admin.php/Login/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.001240s ]
[ 2013-04-24T13:43:58+08:00 ] /admin.php/Login/verify | INFO: Tag[ app_begin ] --START--
[ 2013-04-24T13:43:58+08:00 ] /admin.php/Login/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000740s ]
[ 2013-04-24T13:43:58+08:00 ] /admin.php/Login/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000873s ]
[ 2013-04-24T13:46:13+08:00 ] /admin.php/Login/index | INFO: Tag[ route_check ] --START--
[ 2013-04-24T13:46:13+08:00 ] /admin.php/Login/index | INFO: Run CheckRoute Behavior [ RunTime:0.000834s ]
[ 2013-04-24T13:46:13+08:00 ] /admin.php/Login/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000996s ]
[ 2013-04-24T13:46:13+08:00 ] /admin.php/Login/index | INFO: Tag[ app_begin ] --START--
[ 2013-04-24T13:46:13+08:00 ] /admin.php/Login/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000633s ]
[ 2013-04-24T13:46:13+08:00 ] /admin.php/Login/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000761s ]
