[ 2013-04-25T13:54:13+08:00 ] /admin.php/Login/index | INFO: Tag[ route_check ] --START--
[ 2013-04-25T13:54:13+08:00 ] /admin.php/Login/index | INFO: Run CheckRoute Behavior [ RunTime:0.002385s ]
[ 2013-04-25T13:54:13+08:00 ] /admin.php/Login/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.002564s ]
[ 2013-04-25T13:54:13+08:00 ] /admin.php/Login/index | INFO: Tag[ app_begin ] --START--
[ 2013-04-25T13:54:13+08:00 ] /admin.php/Login/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000678s ]
[ 2013-04-25T13:54:13+08:00 ] /admin.php/Login/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000808s ]
[ 2013-04-25T13:54:13+08:00 ] /admin.php/Login/index | INFO: Tag[ view_template ] --START--
[ 2013-04-25T13:54:13+08:00 ] /admin.php/Login/index | INFO: Run LocationTemplate Behavior [ RunTime:0.001074s ]
[ 2013-04-25T13:54:13+08:00 ] /admin.php/Login/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001242s ]
[ 2013-04-25T13:54:13+08:00 ] /admin.php/Login/index | INFO: Tag[ view_parse ] --START--
[ 2013-04-25T13:54:13+08:00 ] /admin.php/Login/index | INFO: Run ParseTemplate Behavior [ RunTime:0.022883s ]
[ 2013-04-25T13:54:13+08:00 ] /admin.php/Login/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.023048s ]
[ 2013-04-25T13:54:13+08:00 ] /admin.php/Login/index | INFO: Tag[ view_filter ] --START--
[ 2013-04-25T13:54:13+08:00 ] /admin.php/Login/index | INFO: Run ContentReplace Behavior [ RunTime:0.001237s ]
[ 2013-04-25T13:54:13+08:00 ] /admin.php/Login/index | INFO: Run TokenBuild Behavior [ RunTime:0.001485s ]
[ 2013-04-25T13:54:13+08:00 ] /admin.php/Login/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001108s ]
[ 2013-04-25T13:54:13+08:00 ] /admin.php/Login/index | INFO: Run ShowRuntime Behavior [ RunTime:0.001349s ]
[ 2013-04-25T13:54:13+08:00 ] /admin.php/Login/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005596s ]
[ 2013-04-25T13:54:13+08:00 ] /admin.php/Login/index | INFO: Tag[ view_end ] --START--
[ 2013-04-25T13:54:13+08:00 ] /admin.php/Login/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.001099s ]
[ 2013-04-25T13:54:13+08:00 ] /admin.php/Login/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001240s ]
[ 2013-04-25T13:54:13+08:00 ] /admin.php/Login/verify | INFO: Tag[ route_check ] --START--
[ 2013-04-25T13:54:13+08:00 ] /admin.php/Login/verify | INFO: Run CheckRoute Behavior [ RunTime:0.000768s ]
[ 2013-04-25T13:54:13+08:00 ] /admin.php/Login/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.000933s ]
[ 2013-04-25T13:54:13+08:00 ] /admin.php/Login/verify | INFO: Tag[ app_begin ] --START--
[ 2013-04-25T13:54:13+08:00 ] /admin.php/Login/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000645s ]
[ 2013-04-25T13:54:13+08:00 ] /admin.php/Login/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000773s ]
[ 2013-04-25T13:55:43+08:00 ] /admin.php/Login/checkAccount | INFO: Tag[ route_check ] --START--
[ 2013-04-25T13:55:43+08:00 ] /admin.php/Login/checkAccount | INFO: Run CheckRoute Behavior [ RunTime:0.000812s ]
[ 2013-04-25T13:55:43+08:00 ] /admin.php/Login/checkAccount | INFO: Tag[ route_check ] --END-- [ RunTime:0.000964s ]
[ 2013-04-25T13:55:43+08:00 ] /admin.php/Login/checkAccount | INFO: Tag[ app_begin ] --START--
[ 2013-04-25T13:55:43+08:00 ] /admin.php/Login/checkAccount | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000675s ]
[ 2013-04-25T13:55:43+08:00 ] /admin.php/Login/checkAccount | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000816s ]
[ 2013-04-25T13:55:43+08:00 ] /admin.php/Login/checkAccount | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2013-04-25T13:55:43+08:00 ] /admin.php/Login/checkAccount | SQL: SHOW COLUMNS FROM `hd_admin` [ RunTime:0.010313s ]
[ 2013-04-25T13:55:43+08:00 ] /admin.php/Login/checkAccount | SQL: SELECT COUNT(id) AS tp_count FROM `hd_admin` WHERE ( `account` = 'admin' ) LIMIT 1   [ RunTime:0.011868s ]
[ 2013-04-25T13:55:44+08:00 ] /admin.php/Login/checkPwd | INFO: Tag[ route_check ] --START--
[ 2013-04-25T13:55:44+08:00 ] /admin.php/Login/checkPwd | INFO: Run CheckRoute Behavior [ RunTime:0.002273s ]
[ 2013-04-25T13:55:44+08:00 ] /admin.php/Login/checkPwd | INFO: Tag[ route_check ] --END-- [ RunTime:0.002443s ]
[ 2013-04-25T13:55:44+08:00 ] /admin.php/Login/checkPwd | INFO: Tag[ app_begin ] --START--
[ 2013-04-25T13:55:44+08:00 ] /admin.php/Login/checkPwd | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000688s ]
[ 2013-04-25T13:55:44+08:00 ] /admin.php/Login/checkPwd | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000844s ]
[ 2013-04-25T13:55:44+08:00 ] /admin.php/Login/checkPwd | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
