[ 2013-04-22T16:29:27+08:00 ] /admin.php/Index/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.004340s ]
[ 2013-04-22T16:29:27+08:00 ] /admin.php/Index/index | INFO: Tag[ app_begin ] --START--
[ 2013-04-22T16:29:27+08:00 ] /admin.php/Index/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000701s ]
[ 2013-04-22T16:29:27+08:00 ] /admin.php/Index/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000834s ]
[ 2013-04-22T16:29:27+08:00 ] /admin.php/Index/index | INFO: Tag[ view_template ] --START--
[ 2013-04-22T16:29:27+08:00 ] /admin.php/Index/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000568s ]
[ 2013-04-22T16:29:27+08:00 ] /admin.php/Index/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000715s ]
[ 2013-04-22T16:29:27+08:00 ] /admin.php/Index/index | INFO: Tag[ view_parse ] --START--
[ 2013-04-22T16:29:27+08:00 ] /admin.php/Index/index | INFO: Run ParseTemplate Behavior [ RunTime:0.022089s ]
[ 2013-04-22T16:29:27+08:00 ] /admin.php/Index/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.022251s ]
[ 2013-04-22T16:29:27+08:00 ] /admin.php/Index/index | INFO: Tag[ view_filter ] --START--
[ 2013-04-22T16:29:27+08:00 ] /admin.php/Index/index | INFO: Run ContentReplace Behavior [ RunTime:0.000610s ]
[ 2013-04-22T16:29:27+08:00 ] /admin.php/Index/index | INFO: Run TokenBuild Behavior [ RunTime:0.000707s ]
[ 2013-04-22T16:29:27+08:00 ] /admin.php/Index/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000313s ]
[ 2013-04-22T16:29:27+08:00 ] /admin.php/Index/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000766s ]
[ 2013-04-22T16:29:27+08:00 ] /admin.php/Index/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002770s ]
[ 2013-04-22T16:29:27+08:00 ] /admin.php/Index/index | INFO: Tag[ view_end ] --START--
[ 2013-04-22T16:29:27+08:00 ] /admin.php/Index/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000519s ]
[ 2013-04-22T16:29:27+08:00 ] /admin.php/Index/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000680s ]
[ 2013-04-22T16:29:42+08:00 ] /admin.php/Index/index | INFO: Tag[ route_check ] --START--
[ 2013-04-22T16:29:42+08:00 ] /admin.php/Index/index | INFO: Run CheckRoute Behavior [ RunTime:0.000820s ]
[ 2013-04-22T16:29:42+08:00 ] /admin.php/Index/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000976s ]
[ 2013-04-22T16:29:42+08:00 ] /admin.php/Index/index | INFO: Tag[ app_begin ] --START--
[ 2013-04-22T16:29:42+08:00 ] /admin.php/Index/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000643s ]
[ 2013-04-22T16:29:42+08:00 ] /admin.php/Index/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000773s ]
[ 2013-04-22T16:29:42+08:00 ] /admin.php/Index/index | INFO: Tag[ view_template ] --START--
[ 2013-04-22T16:29:42+08:00 ] /admin.php/Index/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000494s ]
[ 2013-04-22T16:29:42+08:00 ] /admin.php/Index/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000645s ]
[ 2013-04-22T16:29:42+08:00 ] /admin.php/Index/index | INFO: Tag[ view_parse ] --START--
[ 2013-04-22T16:29:42+08:00 ] /admin.php/Index/index | INFO: Run ParseTemplate Behavior [ RunTime:0.008110s ]
[ 2013-04-22T16:29:42+08:00 ] /admin.php/Index/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.008274s ]
[ 2013-04-22T16:29:42+08:00 ] /admin.php/Index/index | INFO: Tag[ view_filter ] --START--
[ 2013-04-22T16:29:42+08:00 ] /admin.php/Index/index | INFO: Run ContentReplace Behavior [ RunTime:0.000492s ]
[ 2013-04-22T16:29:42+08:00 ] /admin.php/Index/index | INFO: Run TokenBuild Behavior [ RunTime:0.000523s ]
[ 2013-04-22T16:29:42+08:00 ] /admin.php/Index/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000316s ]
[ 2013-04-22T16:29:42+08:00 ] /admin.php/Index/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000784s ]
[ 2013-04-22T16:29:42+08:00 ] /admin.php/Index/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002474s ]
[ 2013-04-22T16:29:42+08:00 ] /admin.php/Index/index | INFO: Tag[ view_end ] --START--
[ 2013-04-22T16:29:42+08:00 ] /admin.php/Index/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000452s ]
[ 2013-04-22T16:29:42+08:00 ] /admin.php/Index/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000588s ]
[ 2013-04-22T16:30:48+08:00 ] /admin.php/Index/index | INFO: Tag[ route_check ] --START--
[ 2013-04-22T16:30:48+08:00 ] /admin.php/Index/index | INFO: Run CheckRoute Behavior [ RunTime:0.000882s ]
[ 2013-04-22T16:30:48+08:00 ] /admin.php/Index/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001053s ]
[ 2013-04-22T16:30:48+08:00 ] /admin.php/Index/index | INFO: Tag[ app_begin ] --START--
[ 2013-04-22T16:30:48+08:00 ] /admin.php/Index/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000969s ]
[ 2013-04-22T16:30:48+08:00 ] /admin.php/Index/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001124s ]
[ 2013-04-22T16:30:48+08:00 ] /admin.php/Index/index | INFO: Tag[ view_template ] --START--
[ 2013-04-22T16:30:48+08:00 ] /admin.php/Index/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000556s ]
[ 2013-04-22T16:30:48+08:00 ] /admin.php/Index/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000692s ]
[ 2013-04-22T16:30:48+08:00 ] /admin.php/Index/index | INFO: Tag[ view_parse ] --START--
[ 2013-04-22T16:30:48+08:00 ] /admin.php/Index/index | INFO: Run ParseTemplate Behavior [ RunTime:0.008533s ]
[ 2013-04-22T16:30:48+08:00 ] /admin.php/Index/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.008688s ]
[ 2013-04-22T16:30:48+08:00 ] /admin.php/Index/index | INFO: Tag[ view_filter ] --START--
[ 2013-04-22T16:30:48+08:00 ] /admin.php/Index/index | INFO: Run ContentReplace Behavior [ RunTime:0.000656s ]
[ 2013-04-22T16:30:48+08:00 ] /admin.php/Index/index | INFO: Run TokenBuild Behavior [ RunTime:0.000663s ]
[ 2013-04-22T16:30:48+08:00 ] /admin.php/Index/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000340s ]
[ 2013-04-22T16:30:48+08:00 ] /admin.php/Index/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000791s ]
[ 2013-04-22T16:30:48+08:00 ] /admin.php/Index/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002830s ]
[ 2013-04-22T16:30:48+08:00 ] /admin.php/Index/index | INFO: Tag[ view_end ] --START--
[ 2013-04-22T16:30:48+08:00 ] /admin.php/Index/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000597s ]
[ 2013-04-22T16:30:48+08:00 ] /admin.php/Index/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000727s ]
[ 2013-04-22T16:33:00+08:00 ] /admin.php | INFO: Tag[ app_begin ] --START--
[ 2013-04-22T16:33:00+08:00 ] /admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.004531s ]
[ 2013-04-22T16:33:00+08:00 ] /admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004740s ]
[ 2013-04-22T16:33:00+08:00 ] /admin.php | INFO: Tag[ view_template ] --START--
[ 2013-04-22T16:33:00+08:00 ] /admin.php | INFO: Run LocationTemplate Behavior [ RunTime:0.000797s ]
[ 2013-04-22T16:33:00+08:00 ] /admin.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.001013s ]
[ 2013-04-22T16:33:00+08:00 ] /admin.php | INFO: Tag[ view_parse ] --START--
[ 2013-04-22T16:33:00+08:00 ] /admin.php | INFO: Run ParseTemplate Behavior [ RunTime:0.008766s ]
[ 2013-04-22T16:33:00+08:00 ] /admin.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.008937s ]
[ 2013-04-22T16:33:00+08:00 ] /admin.php | INFO: Tag[ view_filter ] --START--
[ 2013-04-22T16:33:00+08:00 ] /admin.php | INFO: Run ContentReplace Behavior [ RunTime:0.000513s ]
[ 2013-04-22T16:33:00+08:00 ] /admin.php | INFO: Run TokenBuild Behavior [ RunTime:0.000598s ]
[ 2013-04-22T16:33:00+08:00 ] /admin.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000305s ]
[ 2013-04-22T16:33:00+08:00 ] /admin.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000754s ]
[ 2013-04-22T16:33:00+08:00 ] /admin.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002538s ]
[ 2013-04-22T16:33:00+08:00 ] /admin.php | INFO: Tag[ view_end ] --START--
[ 2013-04-22T16:33:00+08:00 ] /admin.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000560s ]
[ 2013-04-22T16:33:00+08:00 ] /admin.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.000691s ]
