[ 2013-04-26T13:47:10+08:00 ] /admin.php/Login/index | INFO: Tag[ route_check ] --START--
[ 2013-04-26T13:47:10+08:00 ] /admin.php/Login/index | INFO: Run CheckRoute Behavior [ RunTime:0.002129s ]
[ 2013-04-26T13:47:10+08:00 ] /admin.php/Login/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.002294s ]
[ 2013-04-26T13:47:10+08:00 ] /admin.php/Login/index | INFO: Tag[ app_begin ] --START--
[ 2013-04-26T13:47:10+08:00 ] /admin.php/Login/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000689s ]
[ 2013-04-26T13:47:10+08:00 ] /admin.php/Login/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000829s ]
[ 2013-04-26T13:47:10+08:00 ] /admin.php/Login/index | INFO: Tag[ view_template ] --START--
[ 2013-04-26T13:47:10+08:00 ] /admin.php/Login/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000652s ]
[ 2013-04-26T13:47:10+08:00 ] /admin.php/Login/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000814s ]
[ 2013-04-26T13:47:10+08:00 ] /admin.php/Login/index | INFO: Tag[ view_parse ] --START--
[ 2013-04-26T13:47:10+08:00 ] /admin.php/Login/index | INFO: Run ParseTemplate Behavior [ RunTime:0.009822s ]
[ 2013-04-26T13:47:10+08:00 ] /admin.php/Login/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.009970s ]
[ 2013-04-26T13:47:10+08:00 ] /admin.php/Login/index | INFO: Tag[ view_filter ] --START--
[ 2013-04-26T13:47:10+08:00 ] /admin.php/Login/index | INFO: Run ContentReplace Behavior [ RunTime:0.000471s ]
[ 2013-04-26T13:47:10+08:00 ] /admin.php/Login/index | INFO: Run TokenBuild Behavior [ RunTime:0.000471s ]
[ 2013-04-26T13:47:10+08:00 ] /admin.php/Login/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000281s ]
[ 2013-04-26T13:47:10+08:00 ] /admin.php/Login/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000630s ]
[ 2013-04-26T13:47:10+08:00 ] /admin.php/Login/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002200s ]
[ 2013-04-26T13:47:10+08:00 ] /admin.php/Login/index | INFO: Tag[ view_end ] --START--
[ 2013-04-26T13:47:10+08:00 ] /admin.php/Login/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000442s ]
[ 2013-04-26T13:47:10+08:00 ] /admin.php/Login/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000570s ]
[ 2013-04-26T13:47:10+08:00 ] /admin.php/Login/verify | INFO: Tag[ route_check ] --START--
[ 2013-04-26T13:47:10+08:00 ] /admin.php/Login/verify | INFO: Run CheckRoute Behavior [ RunTime:0.000752s ]
[ 2013-04-26T13:47:10+08:00 ] /admin.php/Login/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.000916s ]
[ 2013-04-26T13:47:10+08:00 ] /admin.php/Login/verify | INFO: Tag[ app_begin ] --START--
[ 2013-04-26T13:47:10+08:00 ] /admin.php/Login/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000652s ]
[ 2013-04-26T13:47:10+08:00 ] /admin.php/Login/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000778s ]
