[ 2014-08-11T19:41:34+08:00 ] /wenda11/ | NOTIC: [8] Undefined offset: 1 f9c22b8b40e560036663a0ce7ed378ae.php 第 159 行.
[ 2014-08-11T19:41:34+08:00 ] /wenda11/ | NOTIC: [8] Undefined offset: 1 f9c22b8b40e560036663a0ce7ed378ae.php 第 159 行.
[ 2014-08-11T19:41:34+08:00 ] /wenda11/ | NOTIC: [8] Undefined offset: 2 f9c22b8b40e560036663a0ce7ed378ae.php 第 159 行.
[ 2014-08-11T19:41:34+08:00 ] /wenda11/ | NOTIC: [8] Undefined offset: 2 f9c22b8b40e560036663a0ce7ed378ae.php 第 159 行.
[ 2014-08-11T19:41:34+08:00 ] /wenda11/ | NOTIC: [8] Undefined offset: 2 f9c22b8b40e560036663a0ce7ed378ae.php 第 159 行.
[ 2014-08-11T19:41:34+08:00 ] /wenda11/ | NOTIC: [8] Undefined offset: 2 f9c22b8b40e560036663a0ce7ed378ae.php 第 159 行.
[ 2014-08-11T19:41:34+08:00 ] /wenda11/ | NOTIC: [8] Undefined offset: 1 f9c22b8b40e560036663a0ce7ed378ae.php 第 159 行.
[ 2014-08-11T19:41:34+08:00 ] /wenda11/ | NOTIC: [8] Undefined offset: 1 f9c22b8b40e560036663a0ce7ed378ae.php 第 159 行.
[ 2014-08-11T19:41:34+08:00 ] /wenda11/ | NOTIC: [8] Undefined offset: 2 f9c22b8b40e560036663a0ce7ed378ae.php 第 159 行.
[ 2014-08-11T19:41:34+08:00 ] /wenda11/ | NOTIC: [8] Undefined offset: 2 f9c22b8b40e560036663a0ce7ed378ae.php 第 159 行.
[ 2014-08-11T19:41:34+08:00 ] /wenda11/ | NOTIC: [8] Undefined offset: 1 f9c22b8b40e560036663a0ce7ed378ae.php 第 159 行.
[ 2014-08-11T19:41:34+08:00 ] /wenda11/ | NOTIC: [8] Undefined offset: 1 f9c22b8b40e560036663a0ce7ed378ae.php 第 159 行.
[ 2014-08-11T19:41:34+08:00 ] /wenda11/ | NOTIC: [8] Undefined offset: 2 f9c22b8b40e560036663a0ce7ed378ae.php 第 159 行.
[ 2014-08-11T19:41:34+08:00 ] /wenda11/ | NOTIC: [8] Undefined offset: 2 f9c22b8b40e560036663a0ce7ed378ae.php 第 159 行.
[ 2014-08-11T19:41:35+08:00 ] /wenda11/ | SQL: SELECT `u`.`id` AS `id`, `username`, `face`, `exp`, `answer`, `u`.`adopt` AS `adopt` FROM `hd_answer` `a` LEFT JOIN `hd_user` `u` ON `a`.`uid` = `u`.`id` WHERE `time` > 1407686400 GROUP BY `username` ORDER BY `answer` DESC LIMIT 1 [ RunTime:0.066641s ]
[ 2014-08-11T19:41:35+08:00 ] /wenda11/ | NOTIC: [8] Undefined offset: 0 f9c22b8b40e560036663a0ce7ed378ae.php 第 258 行.
[ 2014-08-11T19:41:35+08:00 ] /wenda11/ | NOTIC: [8] Undefined index: id f9c22b8b40e560036663a0ce7ed378ae.php 第 261 行.
[ 2014-08-11T19:41:35+08:00 ] /wenda11/ | NOTIC: [8] Undefined index: face f9c22b8b40e560036663a0ce7ed378ae.php 第 261 行.
[ 2014-08-11T19:41:35+08:00 ] /wenda11/ | NOTIC: [8] Undefined index: id f9c22b8b40e560036663a0ce7ed378ae.php 第 263 行.
[ 2014-08-11T19:41:35+08:00 ] /wenda11/ | NOTIC: [8] Undefined index: username f9c22b8b40e560036663a0ce7ed378ae.php 第 263 行.
[ 2014-08-11T19:41:35+08:00 ] /wenda11/ | NOTIC: [8] Undefined index: answer f9c22b8b40e560036663a0ce7ed378ae.php 第 268 行.
[ 2014-08-11T19:41:35+08:00 ] /wenda11/ | NOTIC: [8] Undefined index: adopt f9c22b8b40e560036663a0ce7ed378ae.php 第 269 行.
[ 2014-08-11T19:41:35+08:00 ] /wenda11/ | NOTIC: [8] Undefined index: answer f9c22b8b40e560036663a0ce7ed378ae.php 第 269 行.
[ 2014-08-11T19:41:35+08:00 ] /wenda11/ | NOTIC: [2] Division by zero f9c22b8b40e560036663a0ce7ed378ae.php 第 269 行.
[ 2014-08-11T19:41:35+08:00 ] /wenda11/ | SQL: SELECT `u`.`id` AS `id`, `username`, `face`, `exp`, `answer`, `u`.`adopt` AS `adopt` FROM `hd_answer` `a` LEFT JOIN `hd_user` `u` ON `a`.`uid` = `u`.`id` WHERE `time` > 1407686400 GROUP BY `username` ORDER BY `answer` DESC LIMIT 1 [ RunTime:0.000282s ]
[ 2014-08-11T19:41:35+08:00 ] /wenda11/ | NOTIC: [8] Undefined offset: 0 f9c22b8b40e560036663a0ce7ed378ae.php 第 274 行.
[ 2014-08-11T19:41:35+08:00 ] /wenda11/ | NOTIC: [8] Undefined index: id f9c22b8b40e560036663a0ce7ed378ae.php 第 277 行.
[ 2014-08-11T19:41:35+08:00 ] /wenda11/ | NOTIC: [8] Undefined index: face f9c22b8b40e560036663a0ce7ed378ae.php 第 277 行.
[ 2014-08-11T19:41:35+08:00 ] /wenda11/ | NOTIC: [8] Undefined index: id f9c22b8b40e560036663a0ce7ed378ae.php 第 279 行.
[ 2014-08-11T19:41:35+08:00 ] /wenda11/ | NOTIC: [8] Undefined index: username f9c22b8b40e560036663a0ce7ed378ae.php 第 279 行.
[ 2014-08-11T19:41:35+08:00 ] /wenda11/ | NOTIC: [8] Undefined index: answer f9c22b8b40e560036663a0ce7ed378ae.php 第 284 行.
[ 2014-08-11T19:41:35+08:00 ] /wenda11/ | NOTIC: [8] Undefined index: adopt f9c22b8b40e560036663a0ce7ed378ae.php 第 285 行.
[ 2014-08-11T19:41:35+08:00 ] /wenda11/ | NOTIC: [8] Undefined index: answer f9c22b8b40e560036663a0ce7ed378ae.php 第 285 行.
[ 2014-08-11T19:41:35+08:00 ] /wenda11/ | NOTIC: [2] Division by zero f9c22b8b40e560036663a0ce7ed378ae.php 第 285 行.
[ 2014-08-11T19:41:35+08:00 ] /wenda11/ | INFO: Run ParseTemplate Behavior [ RunTime:0.118360s ]
[ 2014-08-11T19:41:35+08:00 ] /wenda11/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.118440s ]
[ 2014-08-11T19:41:35+08:00 ] /wenda11/ | INFO: Tag[ view_filter ] --START--
[ 2014-08-11T19:41:35+08:00 ] /wenda11/ | INFO: Run ContentReplace Behavior [ RunTime:0.000810s ]
[ 2014-08-11T19:41:35+08:00 ] /wenda11/ | INFO: Run TokenBuild Behavior [ RunTime:0.000831s ]
[ 2014-08-11T19:41:35+08:00 ] /wenda11/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000822s ]
[ 2014-08-11T19:41:35+08:00 ] /wenda11/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001599s ]
[ 2014-08-11T19:41:35+08:00 ] /wenda11/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004466s ]
[ 2014-08-11T19:41:35+08:00 ] /wenda11/ | INFO: Tag[ view_end ] --START--
[ 2014-08-11T19:41:35+08:00 ] /wenda11/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000885s ]
[ 2014-08-11T19:41:35+08:00 ] /wenda11/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001023s ]
[ 2014-08-11T19:41:35+08:00 ] /wenda11/index.php/Common/verify | INFO: Tag[ route_check ] --START--
[ 2014-08-11T19:41:35+08:00 ] /wenda11/index.php/Common/verify | INFO: Run CheckRoute Behavior [ RunTime:0.001604s ]
[ 2014-08-11T19:41:35+08:00 ] /wenda11/index.php/Common/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.001792s ]
[ 2014-08-11T19:41:35+08:00 ] /wenda11/index.php/Common/verify | INFO: Tag[ app_begin ] --START--
[ 2014-08-11T19:41:35+08:00 ] /wenda11/index.php/Common/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001235s ]
[ 2014-08-11T19:41:35+08:00 ] /wenda11/index.php/Common/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001381s ]
[ 2014-08-11T19:41:51+08:00 ] /wenda11/index.php/Ask/index | INFO: Tag[ route_check ] --START--
[ 2014-08-11T19:41:51+08:00 ] /wenda11/index.php/Ask/index | INFO: Run CheckRoute Behavior [ RunTime:0.001864s ]
[ 2014-08-11T19:41:51+08:00 ] /wenda11/index.php/Ask/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.002109s ]
[ 2014-08-11T19:41:51+08:00 ] /wenda11/index.php/Ask/index | INFO: Tag[ app_begin ] --START--
[ 2014-08-11T19:41:51+08:00 ] /wenda11/index.php/Ask/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000942s ]
[ 2014-08-11T19:41:51+08:00 ] /wenda11/index.php/Ask/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001052s ]
[ 2014-08-11T19:41:51+08:00 ] /wenda11/index.php/Ask/index | SQL: SHOW COLUMNS FROM `hd_category` [ RunTime:0.005079s ]
[ 2014-08-11T19:41:51+08:00 ] /wenda11/index.php/Ask/index | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = 0 )  [ RunTime:0.001810s ]
[ 2014-08-11T19:41:51+08:00 ] /wenda11/index.php/Ask/index | INFO: Tag[ view_template ] --START--
[ 2014-08-11T19:41:51+08:00 ] /wenda11/index.php/Ask/index | INFO: Run LocationTemplate Behavior [ RunTime:0.002199s ]
[ 2014-08-11T19:41:51+08:00 ] /wenda11/index.php/Ask/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.002338s ]
[ 2014-08-11T19:41:51+08:00 ] /wenda11/index.php/Ask/index | INFO: Tag[ view_parse ] --START--
[ 2014-08-11T19:41:51+08:00 ] /wenda11/index.php/Ask/index | NOTIC: [2] Missing argument 2 for TagLib::parseXmlAttr(), called in C:\wamp\www\wenda11\Index\Lib\TagLib\TagLibHd.class.php on line 17 and defined TagLib.class.php 第 111 行.
[ 2014-08-11T19:41:51+08:00 ] /wenda11/index.php/Ask/index | NOTIC: [8] Undefined index: @attributes TagLib.class.php 第 120 行.
[ 2014-08-11T19:41:51+08:00 ] /wenda11/index.php/Ask/index | NOTIC: [2] array_change_key_case() expects parameter 1 to be array, null given TagLib.class.php 第 120 行.
[ 2014-08-11T19:41:51+08:00 ] /wenda11/index.php/Ask/index | NOTIC: [8] Undefined offset: 0 Model.class.php 第 270 行.
[ 2014-08-11T19:41:51+08:00 ] /wenda11/index.php/Ask/index | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = 0 )  [ RunTime:0.000957s ]
[ 2014-08-11T19:41:51+08:00 ] /wenda11/index.php/Ask/index | INFO: Run ParseTemplate Behavior [ RunTime:0.027262s ]
[ 2014-08-11T19:41:51+08:00 ] /wenda11/index.php/Ask/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.027393s ]
[ 2014-08-11T19:41:51+08:00 ] /wenda11/index.php/Ask/index | INFO: Tag[ view_filter ] --START--
[ 2014-08-11T19:41:51+08:00 ] /wenda11/index.php/Ask/index | INFO: Run ContentReplace Behavior [ RunTime:0.001369s ]
[ 2014-08-11T19:41:51+08:00 ] /wenda11/index.php/Ask/index | INFO: Run TokenBuild Behavior [ RunTime:0.001203s ]
[ 2014-08-11T19:41:51+08:00 ] /wenda11/index.php/Ask/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000543s ]
[ 2014-08-11T19:41:51+08:00 ] /wenda11/index.php/Ask/index | INFO: Run ShowRuntime Behavior [ RunTime:0.001061s ]
[ 2014-08-11T19:41:51+08:00 ] /wenda11/index.php/Ask/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004555s ]
[ 2014-08-11T19:41:51+08:00 ] /wenda11/index.php/Ask/index | INFO: Tag[ view_end ] --START--
[ 2014-08-11T19:41:51+08:00 ] /wenda11/index.php/Ask/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.001008s ]
[ 2014-08-11T19:41:51+08:00 ] /wenda11/index.php/Ask/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001127s ]
[ 2014-08-11T19:41:51+08:00 ] /wenda11/index.php/Common/verify | INFO: Tag[ route_check ] --START--
[ 2014-08-11T19:41:51+08:00 ] /wenda11/index.php/Common/verify | INFO: Run CheckRoute Behavior [ RunTime:0.001276s ]
[ 2014-08-11T19:41:51+08:00 ] /wenda11/index.php/Common/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.001446s ]
[ 2014-08-11T19:41:51+08:00 ] /wenda11/index.php/Common/verify | INFO: Tag[ app_begin ] --START--
[ 2014-08-11T19:41:51+08:00 ] /wenda11/index.php/Common/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000999s ]
[ 2014-08-11T19:41:51+08:00 ] /wenda11/index.php/Common/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001134s ]
[ 2014-08-11T19:41:58+08:00 ] /wenda11/index.php/Ask/getCate?pid=19 | INFO: Tag[ route_check ] --START--
[ 2014-08-11T19:41:58+08:00 ] /wenda11/index.php/Ask/getCate?pid=19 | INFO: Run CheckRoute Behavior [ RunTime:0.001634s ]
[ 2014-08-11T19:41:58+08:00 ] /wenda11/index.php/Ask/getCate?pid=19 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001797s ]
[ 2014-08-11T19:41:58+08:00 ] /wenda11/index.php/Ask/getCate?pid=19 | INFO: Tag[ app_begin ] --START--
[ 2014-08-11T19:41:58+08:00 ] /wenda11/index.php/Ask/getCate?pid=19 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001129s ]
[ 2014-08-11T19:41:58+08:00 ] /wenda11/index.php/Ask/getCate?pid=19 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001267s ]
[ 2014-08-11T19:41:58+08:00 ] /wenda11/index.php/Ask/getCate?pid=19 | SQL: SHOW COLUMNS FROM `hd_category` [ RunTime:0.002961s ]
[ 2014-08-11T19:41:58+08:00 ] /wenda11/index.php/Ask/getCate?pid=19 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = 19 )  [ RunTime:0.000302s ]
[ 2014-08-11T19:41:59+08:00 ] /wenda11/index.php/Ask/getCate?pid=152 | INFO: Tag[ route_check ] --START--
[ 2014-08-11T19:41:59+08:00 ] /wenda11/index.php/Ask/getCate?pid=152 | INFO: Run CheckRoute Behavior [ RunTime:0.000990s ]
[ 2014-08-11T19:41:59+08:00 ] /wenda11/index.php/Ask/getCate?pid=152 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001100s ]
[ 2014-08-11T19:41:59+08:00 ] /wenda11/index.php/Ask/getCate?pid=152 | INFO: Tag[ app_begin ] --START--
[ 2014-08-11T19:41:59+08:00 ] /wenda11/index.php/Ask/getCate?pid=152 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000756s ]
[ 2014-08-11T19:41:59+08:00 ] /wenda11/index.php/Ask/getCate?pid=152 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000847s ]
[ 2014-08-11T19:41:59+08:00 ] /wenda11/index.php/Ask/getCate?pid=152 | SQL: SHOW COLUMNS FROM `hd_category` [ RunTime:0.003021s ]
[ 2014-08-11T19:41:59+08:00 ] /wenda11/index.php/Ask/getCate?pid=152 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = 152 )  [ RunTime:0.000337s ]
[ 2014-08-11T19:46:03+08:00 ] /wenda11/index.php/Common/checkAccount | INFO: Tag[ route_check ] --START--
[ 2014-08-11T19:46:03+08:00 ] /wenda11/index.php/Common/checkAccount | INFO: Run CheckRoute Behavior [ RunTime:0.001505s ]
[ 2014-08-11T19:46:03+08:00 ] /wenda11/index.php/Common/checkAccount | INFO: Tag[ route_check ] --END-- [ RunTime:0.001620s ]
[ 2014-08-11T19:46:03+08:00 ] /wenda11/index.php/Common/checkAccount | INFO: Tag[ app_begin ] --START--
[ 2014-08-11T19:46:03+08:00 ] /wenda11/index.php/Common/checkAccount | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000938s ]
[ 2014-08-11T19:46:03+08:00 ] /wenda11/index.php/Common/checkAccount | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001019s ]
[ 2014-08-11T19:46:03+08:00 ] /wenda11/index.php/Common/checkAccount | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2014-08-11T19:46:03+08:00 ] /wenda11/index.php/Common/checkAccount | SQL: SHOW COLUMNS FROM `hd_user` [ RunTime:0.003557s ]
[ 2014-08-11T19:46:03+08:00 ] /wenda11/index.php/Common/checkAccount | SQL: SELECT `id` FROM `hd_user` WHERE ( `account` = 'tianya888' ) LIMIT 1   [ RunTime:0.000269s ]
[ 2014-08-11T19:46:18+08:00 ] /wenda11/index.php/Common/checkUsername | INFO: Tag[ route_check ] --START--
[ 2014-08-11T19:46:18+08:00 ] /wenda11/index.php/Common/checkUsername | INFO: Run CheckRoute Behavior [ RunTime:0.001925s ]
[ 2014-08-11T19:46:18+08:00 ] /wenda11/index.php/Common/checkUsername | INFO: Tag[ route_check ] --END-- [ RunTime:0.002083s ]
[ 2014-08-11T19:46:18+08:00 ] /wenda11/index.php/Common/checkUsername | INFO: Tag[ app_begin ] --START--
[ 2014-08-11T19:46:18+08:00 ] /wenda11/index.php/Common/checkUsername | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000833s ]
